"","world","interv","protocol","index_asymp","percent_over_5","mean_clustersize","q25_clustersize","q50_clustersize","q75_clustersize","mean_affected","median_affected","mean_days_lax","q25_days_lax","mean_days_strict","q25_days_strict","q50_days_strict","q75_days_strict"
"1","d","Baseline","I","No",18.2,1.72525,1,1,2,1.4285,1,5.8385,4.4,5.8385,2,2.4,4.4
"2","d","Baseline","I","Yes",86.8,3.21325,1,2,4,0.332,0,20.9302,26.4,20.9302,8,14,26.4
"3","d","Group","II","No",11.7,1.61125,1,1,2,7.0975,6,5.2619,4.4,4.2759,2,2.4,3.6
"4","d","Group","II","Yes",79.1,2.97475,1,2,4,4.93475,5,19.7393,25.6,18.1046,8,13.6,22.8
"5","d","Two Group","III","No",10,1.5945,1,1,2,11.04625,6,5.1757,4.4,3.9517,2,2.4,3.6
"6","d","Two Group","III","Yes",77.4,2.895,1,2,4,9.5215,5,19.3319,25.6,16.6051,8,13.2,21.2
"7","d","Whole class","IV","No",5,1.5165,1,1,2,44.52,45,4.765,4.4,2.4383,2,2.4,2.8
"8","d","Whole class","IV","Yes",62.7,2.7135,1,2,4,17.949,30,18.3542,24.4,13.8764,8,11.6,16.8
